x y z
192.4586 69.3757 0.0000
90.0065 47.4641 0.0000
64.2422 25.6094 0.0000
162.5952 64.3730 0.0000
75.7866 219.6083 0.0000
199.5264 156.2225 0.0000
66.4198 136.4091 0.0000
176.3992 190.4244 0.0000
9.2231 185.9846 0.0000
112.8040 94.0440 0.0000
143.0428 99.2100 0.0000
10.3606 150.6848 0.0000
65.4836 34.2049 0.0000
24.4708 230.9956 0.0000
104.5065 83.3497 0.0000
228.8762 163.3762 0.0000
113.0000 30.5259 0.0000
186.3313 184.7892 0.0000
136.6827 120.9583 0.0000
7.3321 134.8796 0.0000
30.2124 247.5221 0.0000
125.6481 72.0062 0.0000
125.6584 40.5963 0.0000
168.5625 18.5398 0.0000
237.4268 172.1748 0.0000
43.5798 186.7676 0.0000
56.5552 56.5798 0.0000
249.8710 35.7806 0.0000
123.8306 137.3347 0.0000
113.5733 145.7112 0.0000
24.4327 125.7163 0.0000
217.0469 65.7288 0.0000
119.5656 103.2143 0.0000
228.4375 131.0833 0.0000
18.0248 111.2624 0.0000
43.5788 249.6232 0.0000
68.6786 45.5625 0.0000
98.1114 31.9479 0.0000
150.7321 210.1375 0.0000
54.5719 136.3669 0.0000
231.1655 233.0366 0.0000
9.0985 106.3431 0.0000
124.1548 237.5051 0.0000
244.1349 136.4737 0.0000
247.3716 232.5856 0.0000
2.0833 207.9028 0.0000
241.9595 248.2738 0.0000
167.0259 138.1897 0.0000
38.8658 7.3221 0.0000
215.6119 196.1783 0.0000
65.7044 227.8978 0.0000
13.9952 219.3846 0.0000
213.5538 117.3817 0.0000
213.8125 9.1984 0.0000
59.2593 216.7305 0.0000
93.1933 130.2853 0.0000
134.2935 144.0548 0.0000
59.7290 195.0320 0.0000
180.0847 56.4516 0.0000
159.0263 75.4342 0.0000
95.2358 151.2012 0.0000
82.7599 251.7115 0.0000
248.3503 167.2041 0.0000
184.7682 87.7409 0.0000
54.7044 35.8394 0.0000
108.1777 181.6983 0.0000
99.8452 210.5667 0.0000
194.4064 244.2941 0.0000
90.5843 82.5964 0.0000
110.0826 11.0855 0.0000
46.9208 62.3911 0.0000
181.5315 112.4223 0.0000
42.3715 137.1050 0.0000
142.6192 177.7740 0.0000
189.4644 5.0929 0.0000
44.6778 231.8111 0.0000
72.3755 57.1438 0.0000
202.6006 189.2263 0.0000
121.8550 183.9112 0.0000
16.0038 91.7519 0.0000
65.1021 70.8345 0.0000
234.8459 8.3568 0.0000
172.9457 69.2943 0.0000
240.1296 104.3230 0.0000
28.1983 66.9914 0.0000
140.9324 59.6014 0.0000
67.2492 156.1635 0.0000
199.8808 213.7601 0.0000
56.8937 243.6339 0.0000
14.0103 62.7305 0.0000
216.0399 156.8568 0.0000
182.2296 246.9843 0.0000
108.5855 113.6711 0.0000
248.4625 86.6581 0.0000
144.3802 48.1458 0.0000
25.2881 157.6949 0.0000
151.5478 86.0024 0.0000
160.2286 101.5714 0.0000
194.7857 173.4259 0.0000
9.8213 49.2352 0.0000
155.8786 37.8883 0.0000
137.2029 86.3551 0.0000
128.7691 57.0141 0.0000
78.7245 75.4439 0.0000
115.6734 201.4435 0.0000
179.4924 43.4242 0.0000
199.0500 110.1125 0.0000
188.3023 156.4153 0.0000
178.5000 78.5058 0.0000
197.1340 138.0515 0.0000
210.5864 109.6235 0.0000
190.4020 34.1667 0.0000
68.1058 88.2083 0.0000
44.8818 75.0473 0.0000
138.0967 248.7200 0.0000
117.6944 224.4167 0.0000
229.7622 199.3110 0.0000
78.5753 33.8347 0.0000
150.9881 63.5179 0.0000
171.7019 182.5721 0.0000
221.6389 113.1111 0.0000
62.0692 111.3261 0.0000
94.0288 6.7305 0.0000
76.8550 14.8919 0.0000
212.2820 169.4905 0.0000
79.5270 97.2135 0.0000
60.9670 98.3113 0.0000
108.3031 56.2434 0.0000
173.7263 97.0842 0.0000
68.2075 243.7016 0.0000
217.9024 126.6420 0.0000
158.4872 18.2885 0.0000
80.6839 147.3276 0.0000
46.6174 89.1783 0.0000
189.6327 46.9388 0.0000
160.1269 182.4211 0.0000
113.6693 249.4089 0.0000
210.0802 236.1440 0.0000
88.6149 63.9521 0.0000
10.0639 7.1978 0.0000
128.6145 15.5916 0.0000
207.4355 142.9570 0.0000
171.2805 5.5732 0.0000
94.5029 183.4477 0.0000
98.7670 116.7159 0.0000
166.6847 224.1064 0.0000
127.3223 90.8756 0.0000
141.9481 233.0357 0.0000
221.5426 26.5885 0.0000
43.8567 26.3262 0.0000
29.2628 137.8622 0.0000
178.8135 204.7194 0.0000
81.1667 129.1333 0.0000
206.0952 178.8869 0.0000
38.7190 48.9524 0.0000
106.2473 230.4890 0.0000
145.9240 150.8897 0.0000
10.8442 121.8070 0.0000
164.4632 34.5882 0.0000
228.6534 214.5224 0.0000
216.9861 141.2431 0.0000
128.6308 24.9538 0.0000
192.1277 98.3511 0.0000
230.4896 110.4430 0.0000
172.6585 162.6434 0.0000
163.6933 155.6867 0.0000
28.9528 208.2881 0.0000
202.8636 124.5318 0.0000
215.6299 100.4661 0.0000
105.0000 131.2473 0.0000
121.4455 121.4030 0.0000
132.7943 6.2722 0.0000
146.9459 19.1710 0.0000
46.4742 108.3911 0.0000
102.7266 95.3438 0.0000
93.7658 239.0538 0.0000
77.2390 199.7171 0.0000
84.7805 113.9299 0.0000
169.1435 247.3792 0.0000
175.5502 30.9886 0.0000
36.2226 164.3467 0.0000
28.4920 88.1347 0.0000
12.6661 28.8664 0.0000
160.9470 113.4908 0.0000
130.8478 205.8533 0.0000
67.4406 121.5070 0.0000
142.0370 74.9198 0.0000
116.5248 82.4504 0.0000
146.0437 112.9250 0.0000
57.7679 8.0452 0.0000
124.8852 111.8689 0.0000
215.0595 213.0177 0.0000
168.9118 47.8866 0.0000
30.0718 32.2019 0.0000
133.6494 187.3896 0.0000
190.9536 197.3962 0.0000
92.1044 101.1593 0.0000
248.7609 120.0985 0.0000
154.3490 240.2953 0.0000
160.0442 53.8605 0.0000
22.8805 12.4951 0.0000
246.1974 219.8158 0.0000
185.3523 224.6902 0.0000
176.0072 148.1812 0.0000
10.9138 206.6595 0.0000
46.1203 206.2826 0.0000
206.0078 21.7422 0.0000
209.3351 35.4427 0.0000
95.2551 225.4796 0.0000
7.9403 75.1679 0.0000
25.2360 181.6472 0.0000
235.4895 144.1211 0.0000
165.2256 86.7927 0.0000
182.6509 170.7704 0.0000
219.0426 186.3915 0.0000
156.4888 147.2765 0.0000
9.9135 167.7551 0.0000
226.0912 178.6381 0.0000
205.8623 84.2132 0.0000
157.4944 126.7598 0.0000
3.6059 194.4059 0.0000
228.7781 149.5592 0.0000
7.1667 245.3037 0.0000
129.6400 220.6800 0.0000
85.7600 224.6000 0.0000
76.5204 176.6226 0.0000
80.3865 237.7595 0.0000
188.7530 22.6647 0.0000
227.9725 80.1000 0.0000
85.8228 210.7532 0.0000
203.6957 199.2174 0.0000
234.2103 33.5579 0.0000
105.5576 72.3953 0.0000
18.3266 247.7197 0.0000
239.1947 57.2312 0.0000
154.4949 5.4538 0.0000
191.9130 13.2174 0.0000
249.3946 13.2687 0.0000
5.0385 229.1213 0.0000
113.8670 162.0762 0.0000
143.1085 35.3491 0.0000
201.3512 94.4405 0.0000
203.6543 47.4657 0.0000
218.8806 249.7164 0.0000
247.4967 205.5333 0.0000
31.8615 104.9272 0.0000
183.6688 134.6159 0.0000
226.9450 94.1400 0.0000
242.8677 187.6737 0.0000
113.7165 128.4691 0.0000
52.0027 162.0805 0.0000
247.0652 152.3217 0.0000
32.2841 116.5909 0.0000
203.9934 61.3750 0.0000
6.2931 90.7906 0.0000
