time,DOFs,avg_grain_volumes,dt,grain_tracker,n_elements,n_nodes
0,1979418,215.95934075547,0,256,65536,66049
0.6,1979418,255.87975331936,0.3,254,65536,66049
1.2,1979418,276.21355856166,0.3,236,65536,66049
1.8,1979418,285.06605426194,0.3,228,65536,66049
2.4,1979418,299.50594593109,0.3,217,65536,66049
3,1979418,313.77951429887,0.3,207,65536,66049
3.6,1979418,333.08145782405,0.3,195,65536,66049
4.2,1979418,356.6216127237,0.3,182,65536,66049
4.8,1979418,370.98068846975,0.3,175,65536,66049
5.4,1979418,386.28575622251,0.3,168,65536,66049
6,1979418,400.73433466607,0.3,162,65536,66049
6.6,1979418,421.41254241521,0.3,154,65536,66049
7.2,1979418,444.37379557923,0.3,146,65536,66049
7.8,1979418,469.96014471123,0.3,138,65536,66049
8.4,1979418,480.68374335713,0.3,135,65536,66049
9,1979418,502.78552197813,0.3,129,65536,66049
9.6,1979418,540.37686093134,0.3,120,65536,66049
10.2,1979418,545.1737548066,0.3,119,65536,66049
10.8,1979418,578.96353741956,0.3,112,65536,66049
11.4,1979418,595.02115869453,0.3,109,65536,66049
12,1979418,606.08690280311,0.3,107,65536,66049
12.6,1979418,617.89259907887,0.3,105,65536,66049
13.2,1979418,642.11097051414,0.3,101,65536,66049
13.8,1979418,668.80604191441,0.3,97,65536,66049
14.4,1979418,675.83430175777,0.3,96,65536,66049
15,1979418,690.27860949308,0.3,94,65536,66049
15.6,1979418,705.2531652012,0.3,92,65536,66049
16.2,1979418,721.12065127299,0.3,90,65536,66049
16.8,1979418,763.31835337428,0.3,85,65536,66049
17.4,1979418,772.65789337958,0.3,84,65536,66049
18,1979418,811.08035627204,0.3,80,65536,66049
18.6,1979418,831.91247153639,0.3,78,65536,66049
19.2,1979418,842.95988527419,0.3,77,65536,66049
19.8,1979418,854.10047387333,0.3,76,65536,66049
20.4,1979418,865.70550501396,0.3,75,65536,66049
21,1979418,901.65083628553,0.3,72,65536,66049
21.6,1979418,927.4316745477,0.3,70,65536,66049
22.2,1979418,969.07691082944,0.3,67,65536,66049
22.8,1979418,998.80154118217,0.3,65,65536,66049
23.4,1979418,999.0367866861,0.3,65,65536,66049
24,1979418,1014.739767778,0.3,64,65536,66049
24.6,1979418,1047.4046621741,0.3,62,65536,66049
25.2,1979418,1100.691858949,0.3,59,65536,66049
25.8,1979418,1119.7281632578,0.3,58,65536,66049
26.4,1979418,1119.889758277,0.3,58,65536,66049
27,1979418,1139.6639192575,0.3,57,65536,66049
27.6,1979418,1180.9261908508,0.3,55,65536,66049
28.2,1979418,1202.9047183777,0.3,54,65536,66049
28.8,1979418,1203.1298128211,0.3,54,65536,66049
29.4,1979418,1225.9288308758,0.3,53,65536,66049
30,1979418,1273.8440444579,0.3,51,65536,66049
30.6,1979418,1299.6562380709,0.3,50,65536,66049
31.2,1979418,1326.2006825763,0.3,49,65536,66049
31.8,1979418,1382.6239430947,0.3,47,65536,66049
32.4,1979418,1382.9469079545,0.3,47,65536,66049
33,1979418,1477.0635144872,0.3,44,65536,66049
33.6,1979418,1511.6023175511,0.3,43,65536,66049
34.2,1979418,1584.9539861809,0.3,41,65536,66049
34.8,1979418,1585.2481067179,0.3,41,65536,66049
35.4,1979418,1624.7311644156,0.3,40,65536,66049
36,1979418,1710.1596878718,0.3,38,65536,66049
36.6,1979418,1710.2738246743,0.3,38,65536,66049
37.2,1979418,1710.4007177806,0.3,38,65536,66049
37.8,1979418,1710.5197325629,0.3,38,65536,66049
38.4,1979418,1710.6846814494,0.3,38,65536,66049
39,1979418,1756.930156012,0.3,37,65536,66049
39.6,1979418,1805.5710452191,0.3,36,65536,66049
40.2,1979418,1805.6901518913,0.3,36,65536,66049
40.8,1979418,1805.7297156627,0.3,36,65536,66049
41.4,1979418,1805.6320385554,0.3,36,65536,66049
42,1979418,1805.7554978855,0.3,36,65536,66049
42.6,1979418,1805.8757203855,0.3,36,65536,66049
43.2,1979418,1805.942628609,0.3,36,65536,66049
43.8,1979418,1805.9469209664,0.3,36,65536,66049
44.4,1979418,1806.0518230752,0.3,36,65536,66049
45,1979418,1806.1282967545,0.3,36,65536,66049
45.6,1979418,1857.5331956635,0.3,35,65536,66049
46.2,1979418,1857.7233197938,0.3,35,65536,66049
46.8,1979418,1857.7091046021,0.3,35,65536,66049
47.4,1979418,1857.7797828043,0.3,35,65536,66049
48,1979418,1857.7867443921,0.3,35,65536,66049
48.6,1979418,1857.9269610765,0.3,35,65536,66049
49.2,1979418,1858.0688468126,0.3,35,65536,66049
49.8,1979418,1858.2457214146,0.3,35,65536,66049
50.4,1979418,1912.5434155994,0.3,34,65536,66049
51,1979418,1912.8266181131,0.3,34,65536,66049
51.6,1979418,1912.9043954396,0.3,34,65536,66049
52.2,1979418,1970.829439251,0.3,33,65536,66049
52.8,1979418,1971.2097669331,0.3,33,65536,66049
53.4,1979418,2032.5027040221,0.3,32,65536,66049
54,1979418,2032.6841953267,0.3,32,65536,66049
54.6,1979418,2032.8754820974,0.3,32,65536,66049
55.2,1979418,2098.3007610707,0.3,31,65536,66049
55.8,1979418,2168.4902778145,0.3,30,65536,66049
56.4,1979418,2168.6786265166,0.3,30,65536,66049
57,1979418,2168.8059984714,0.3,30,65536,66049
57.6,1979418,2243.4697241188,0.3,29,65536,66049
58.2,1979418,2323.4972525885,0.3,28,65536,66049
58.8,1979418,2409.6048753051,0.3,27,65536,66049
59.4,1979418,2502.3523845723,0.3,26,65536,66049
60,1979418,2502.3408580508,0.3,26,65536,66049
60.6,1979418,2602.0613903921,0.3,25,65536,66049
