# phi1  PHI  phi2
0.000000 0.0 0.0
0.532651 0.0 0.0
0.637817 0.0 0.0
0.733531 0.0 0.0
0.408184 0.0 0.0
0.409868 0.0 0.0
0.278141 0.0 0.0
0.000000 0.0 0.0
0.473014 0.0 0.0
0.651092 0.0 0.0
0.106834 0.0 0.0
0.684118 0.0 0.0
0.467489 0.0 0.0
0.433698 0.0 0.0
0.632452 0.0 0.0
0.775357 0.0 0.0
0.572459 0.0 0.0
0.333130 0.0 0.0
0.670176 0.0 0.0
0.071123 0.0 0.0
0.080850 0.0 0.0
0.638321 0.0 0.0
0.263096 0.0 0.0
0.534779 0.0 0.0
0.754596 0.0 0.0
0.616771 0.0 0.0
0.041472 0.0 0.0
0.644252 0.0 0.0
0.748868 0.0 0.0
0.727255 0.0 0.0
0.488271 0.0 0.0
0.383331 0.0 0.0
0.623173 0.0 0.0
0.785400 0.0 0.0
0.705635 0.0 0.0
0.538045 0.0 0.0
0.731085 0.0 0.0
0.370573 0.0 0.0
0.342071 0.0 0.0
0.635823 0.0 0.0
0.275007 0.0 0.0
0.785400 0.0 0.0
0.120101 0.0 0.0
0.227149 0.0 0.0
0.353432 0.0 0.0
0.476732 0.0 0.0
0.073573 0.0 0.0
0.678955 0.0 0.0
0.102375 0.0 0.0
0.699935 0.0 0.0
0.449259 0.0 0.0
0.378606 0.0 0.0
0.785400 0.0 0.0
0.208141 0.0 0.0
0.237556 0.0 0.0
0.531488 0.0 0.0
0.116034 0.0 0.0
0.227883 0.0 0.0
0.263714 0.0 0.0
0.712577 0.0 0.0
0.202839 0.0 0.0
0.579284 0.0 0.0
0.647213 0.0 0.0
0.087047 0.0 0.0
0.749564 0.0 0.0
0.245491 0.0 0.0
0.432028 0.0 0.0
0.760453 0.0 0.0
0.465600 0.0 0.0
0.445967 0.0 0.0
0.554340 0.0 0.0
0.359733 0.0 0.0
0.457006 0.0 0.0
0.297306 0.0 0.0
0.662481 0.0 0.0
0.004844 0.0 0.0
0.212179 0.0 0.0
0.720583 0.0 0.0
0.276350 0.0 0.0
0.486125 0.0 0.0
0.661658 0.0 0.0
0.785400 0.0 0.0
0.356849 0.0 0.0
0.284263 0.0 0.0
0.116483 0.0 0.0
0.517312 0.0 0.0
0.622757 0.0 0.0
0.194093 0.0 0.0
0.734527 0.0 0.0
