# phi1     PHI     phi2
1.397635 2.583683 0.725433
1.678891 1.288684 3.366374
4.201143 1.299379 0.444606
0.025232 1.990660 2.991186
5.846102 0.180653 4.479349
4.796549 0.677731 0.288074
3.186136 1.329630 4.818076
4.387653 0.807852 4.145662
0.268568 1.767926 2.673223
3.653175 0.824227 6.008563
5.803995 1.544823 3.232678
1.569135 1.001074 5.478163
5.202354 1.804114 1.781048
0.812892 2.745749 2.531165
5.706679 1.922894 0.325296
4.097931 0.599658 0.967585
0.712130 1.138852 3.385536
5.761488 1.006013 3.708691
5.742342 2.045278 0.672172
0.747790 1.234629 3.901945
0.656711 0.858919 4.489995
1.200579 0.283216 5.417086
0.316689 0.871597 5.484176
4.883930 2.373229 0.927616
1.094086 0.982622 0.037996
5.725988 2.024551 4.912591
2.499780 0.162250 4.270743
2.345044 1.960031 3.809861
5.417880 2.726124 3.587129
2.265681 0.604697 4.048347
5.625192 2.033880 4.504688
1.927656 1.452094 4.103304
5.838513 0.150997 3.695519
6.067408 0.979487 2.697116
1.790083 0.210045 4.700584
3.407691 1.539374 1.259351
1.109855 0.989763 0.993141
4.528934 2.123037 1.395537
5.131372 1.151078 5.939094
0.497554 0.296358 1.868667
2.251886 1.413277 5.008257
6.228428 2.472965 0.440921
5.757767 0.997478 0.421129
0.326393 1.848161 4.537059
1.396131 0.719342 4.326019
1.457656 0.842132 5.630372
5.490097 2.517178 0.985813
2.570226 1.342225 3.155534
1.282493 1.989179 0.486021
0.955458 1.933555 3.981100
3.712199 1.194461 5.597273
0.726067 2.551123 4.803888
0.703550 1.052949 5.988088
6.070944 1.246377 6.130175
5.279359 0.754178 3.451249
2.143717 1.126419 3.579403
1.631593 2.503322 2.924318
0.202741 2.684580 1.495564
1.563493 1.571299 5.813478
1.803795 1.735516 0.985207
3.032526 0.261965 3.743392
0.032720 0.918365 1.968693
3.666447 0.972066 5.471953
1.635834 1.946127 2.757675
1.053995 0.877931 0.374889
4.145987 1.192338 0.695223
2.380802 1.096362 5.609625
2.906837 1.841452 1.731166
4.283463 1.840645 0.114011
3.568742 0.654392 1.292972
2.579474 2.311619 3.505003
1.222451 1.471574 1.090217
1.759944 1.283926 4.530704
5.488029 2.643532 0.252728
2.348052 1.555735 2.165253
1.003907 1.966703 5.524668
1.540415 2.499205 3.768652
3.225767 2.289314 2.075825
0.949052 1.796755 3.381683
0.641389 2.120834 5.655309
3.838823 2.176284 2.586167
2.788949 1.709302 1.064860
1.008950 2.001485 3.639820
4.415582 2.231407 6.120877
1.240470 2.093230 4.744393
4.276480 2.626332 2.785679
2.022344 1.267154 1.796148
2.431933 2.946670 3.504344
0.067117 1.102862 3.861001
2.621084 0.794749 2.674720
5.040894 2.503882 2.246195
1.486199 1.105026 0.740949
3.715997 2.858438 0.538441
1.475708 0.198067 2.355421
1.527027 1.307563 4.313482
2.336420 0.605715 1.577130
1.306257 0.865303 0.092857
2.464398 1.399775 2.445066
5.518435 0.866914 1.381114
5.452311 1.764832 2.441515
5.405413 0.934655 3.062033
3.502264 1.884923 0.853819
2.623986 2.119067 0.603693
5.711389 2.313153 3.308671
0.407495 0.647372 2.140004
6.258239 1.339407 0.025763
0.087340 2.242409 0.795061
0.627931 0.202600 1.103775
0.644878 1.812910 2.879248
1.573260 2.461750 4.272171
2.795587 1.460052 1.517286
3.532970 2.872966 2.080414
6.147820 2.428630 3.060184
2.093459 1.612202 3.983506
3.657460 1.936991 3.904341
5.821282 1.125171 1.005059
4.883690 1.406824 3.236807
0.436408 2.934977 3.666820
0.564282 2.310181 3.383864
4.713968 2.876483 4.889613
0.530887 1.903327 2.802993
4.964664 1.584472 1.604053
2.856965 0.712584 0.109611
2.496434 0.785216 4.257190
3.522954 1.700369 4.190002
5.422529 1.023302 2.108626
0.847433 2.338345 0.069969
4.730344 2.522304 0.627487
4.572592 2.503461 5.965105
2.688984 0.913431 2.441059
0.910743 2.660139 0.668891
3.415507 2.190074 5.952767
1.656598 0.866975 4.087395
5.785560 2.201624 1.302694
0.801323 1.586648 1.015826
3.947815 0.066653 0.735597
1.009066 1.318193 3.407625
0.905149 0.987885 5.659899
2.861273 2.132548 4.791296
0.642519 1.410110 0.765529
3.688946 1.102196 2.369606
3.913743 0.747896 5.423149
2.475724 1.033277 5.709059
2.767002 2.417356 4.874691
0.979112 1.652575 3.881636
1.032475 0.966387 0.074101
5.048535 1.241719 0.940064
0.774710 0.729631 0.136812
6.160008 2.952145 1.191855
4.648779 1.473009 4.763684
3.776284 1.325187 4.021175
0.552326 1.506808 2.988760
0.387919 2.788040 6.202404
1.422517 0.593863 0.426373
1.923377 0.831265 0.594613
2.190900 0.777837 4.199265
0.258603 1.357201 5.867415
3.385432 2.959101 0.026265
2.177401 0.618989 5.186594
4.469559 1.183970 4.136749
4.020938 1.710500 4.614670
0.079040 1.257170 1.608828
0.732572 2.103179 4.448079
5.699255 2.984256 1.416146
3.676715 2.484138 3.278328
1.206639 0.909400 4.583694
3.234997 2.421205 5.314649
4.695403 2.013379 1.580992
4.507559 1.031788 3.768613
2.580868 2.676148 3.086690
1.551124 1.728006 2.860748
3.345664 2.825221 1.722840
4.951889 2.187568 0.446958
5.537198 1.914284 0.186646
3.150287 0.921490 6.021945
1.597293 0.756556 4.831626
4.423792 1.688349 2.212565
0.053725 1.437724 0.973782
0.274346 2.185956 1.625556
1.679644 0.529829 0.778910
3.261806 0.802642 1.074684
0.725561 1.809458 6.088612
4.139087 1.991960 1.617003
2.116605 2.295138 1.659706
0.228012 1.778245 5.534825
0.140147 2.387869 2.497227
3.760840 0.236050 5.360620
1.803690 0.624263 4.768471
3.823345 1.185672 0.914992
5.042434 2.337281 4.855017
1.608917 2.295746 1.113686
6.021532 1.957440 2.677747
4.969364 0.550373 4.342031
3.179843 1.057451 0.656427
2.349819 0.528449 3.075318
5.590761 2.254732 0.307108
3.602661 1.735525 0.785230
3.840243 1.729616 4.602326
4.358615 0.952396 4.856524
0.752164 1.115223 4.133730
5.286499 1.196176 4.440306
1.336808 2.806051 4.647904
2.071233 1.776590 2.283224
5.632522 0.816493 6.005810
4.854723 1.802817 0.989122
