# phi1  PHI  phi2
2.343497 0.0 0.0
3.939520 0.0 0.0
2.675570 0.0 0.0
1.833191 0.0 0.0
1.575402 0.0 0.0
2.222422 0.0 0.0
0.170374 0.0 0.0
0.235702 0.0 0.0
1.476925 0.0 0.0
4.608461 0.0 0.0
4.437470 0.0 0.0
2.475458 0.0 0.0
0.125855 0.0 0.0
2.391946 0.0 0.0
2.100840 0.0 0.0
1.257435 0.0 0.0
4.788921 0.0 0.0
1.179231 0.0 0.0
0.000000 0.0 0.0
3.553895 0.0 0.0
1.228881 0.0 0.0
1.759470 0.0 0.0
0.230121 0.0 0.0
0.070099 0.0 0.0
4.353815 0.0 0.0
4.306352 0.0 0.0
3.512553 0.0 0.0
0.308360 0.0 0.0
3.519020 0.0 0.0
1.357585 0.0 0.0
3.698437 0.0 0.0
1.275403 0.0 0.0
5.255303 0.0 0.0
3.829021 0.0 0.0
5.623660 0.0 0.0
5.168659 0.0 0.0
3.087141 0.0 0.0
1.873720 0.0 0.0
3.859052 0.0 0.0
0.497549 0.0 0.0
3.518952 0.0 0.0
4.332188 0.0 0.0
2.441567 0.0 0.0
0.628813 0.0 0.0
1.453777 0.0 0.0
2.918376 0.0 0.0
3.181521 0.0 0.0
1.762131 0.0 0.0
3.571050 0.0 0.0
1.705349 0.0 0.0
0.552992 0.0 0.0
0.000000 0.0 0.0
0.736650 0.0 0.0
0.000000 0.0 0.0
2.087268 0.0 0.0
4.681528 0.0 0.0
3.559647 0.0 0.0
1.318396 0.0 0.0
2.527173 0.0 0.0
5.751627 0.0 0.0
0.005572 0.0 0.0
0.174028 0.0 0.0
0.120648 0.0 0.0
4.259541 0.0 0.0
5.746761 0.0 0.0
3.949268 0.0 0.0
4.347669 0.0 0.0
0.000000 0.0 0.0
0.545287 0.0 0.0
0.604785 0.0 0.0
2.361817 0.0 0.0
1.805838 0.0 0.0
1.457447 0.0 0.0
5.451292 0.0 0.0
4.963934 0.0 0.0
1.831117 0.0 0.0
0.188437 0.0 0.0
4.619479 0.0 0.0
3.710849 0.0 0.0
3.934838 0.0 0.0
2.473612 0.0 0.0
5.156052 0.0 0.0
3.541180 0.0 0.0
5.471275 0.0 0.0
3.993376 0.0 0.0
1.242383 0.0 0.0
4.347947 0.0 0.0
0.680308 0.0 0.0
5.606871 0.0 0.0
1.313633 0.0 0.0
0.568995 0.0 0.0
1.799667 0.0 0.0
0.000000 0.0 0.0
1.357153 0.0 0.0
3.656735 0.0 0.0
0.000000 0.0 0.0
1.684310 0.0 0.0
1.543081 0.0 0.0
1.991409 0.0 0.0
1.584557 0.0 0.0
1.872687 0.0 0.0
5.379381 0.0 0.0
1.447854 0.0 0.0
4.589469 0.0 0.0
4.483484 0.0 0.0
0.000000 0.0 0.0
0.963944 0.0 0.0
5.018607 0.0 0.0
1.154039 0.0 0.0
4.529379 0.0 0.0
0.112521 0.0 0.0
2.459062 0.0 0.0
2.582202 0.0 0.0
5.311871 0.0 0.0
1.724997 0.0 0.0
1.988283 0.0 0.0
5.086722 0.0 0.0
4.029301 0.0 0.0
3.515863 0.0 0.0
3.964216 0.0 0.0
1.224404 0.0 0.0
0.004268 0.0 0.0
1.097216 0.0 0.0
0.333371 0.0 0.0
0.000000 0.0 0.0
5.068852 0.0 0.0
0.879473 0.0 0.0
2.330114 0.0 0.0
0.000000 0.0 0.0
3.124804 0.0 0.0
2.826102 0.0 0.0
0.844439 0.0 0.0
1.105099 0.0 0.0
0.334411 0.0 0.0
0.083508 0.0 0.0
0.176154 0.0 0.0
1.378894 0.0 0.0
5.825982 0.0 0.0
4.429657 0.0 0.0
3.973879 0.0 0.0
0.242807 0.0 0.0
2.798113 0.0 0.0
5.600167 0.0 0.0
3.009060 0.0 0.0
4.487807 0.0 0.0
5.076535 0.0 0.0
2.681167 0.0 0.0
5.623389 0.0 0.0
5.195621 0.0 0.0
5.221500 0.0 0.0
4.460677 0.0 0.0
4.692037 0.0 0.0
3.567960 0.0 0.0
1.060625 0.0 0.0
1.600839 0.0 0.0
3.870846 0.0 0.0
0.229731 0.0 0.0
4.579798 0.0 0.0
2.681317 0.0 0.0
0.319370 0.0 0.0
2.398233 0.0 0.0
0.820627 0.0 0.0
1.051074 0.0 0.0
5.681521 0.0 0.0
1.287924 0.0 0.0
3.311286 0.0 0.0
3.394551 0.0 0.0
0.253514 0.0 0.0
1.453064 0.0 0.0
0.334009 0.0 0.0
4.900432 0.0 0.0
3.599297 0.0 0.0
2.897559 0.0 0.0
0.564578 0.0 0.0
2.017370 0.0 0.0
3.719378 0.0 0.0
3.766878 0.0 0.0
1.318884 0.0 0.0
1.974575 0.0 0.0
1.297312 0.0 0.0
0.000000 0.0 0.0
1.152655 0.0 0.0
2.107608 0.0 0.0
0.295342 0.0 0.0
3.125110 0.0 0.0
5.071033 0.0 0.0
3.925560 0.0 0.0
4.316252 0.0 0.0
3.940345 0.0 0.0
0.581633 0.0 0.0
1.645122 0.0 0.0
4.938136 0.0 0.0
0.000000 0.0 0.0
2.796681 0.0 0.0
4.803803 0.0 0.0
