# phi1     PHI     phi2
1.753371 1.048179 1.664746
2.251827 2.270610 3.630356
3.294869 1.948987 4.464926
0.441673 1.364467 5.811338
3.170051 0.964573 3.714851
3.880425 1.790742 2.245974
3.793178 2.724691 3.315792
5.436831 1.198125 4.188940
4.908690 1.902928 5.970050
5.212163 0.403794 1.904651
1.067404 1.318119 3.771559
4.710381 0.555800 0.748244
0.827326 1.182391 2.437323
0.443741 2.852372 2.179948
0.316798 1.800587 5.900119
5.501498 0.408563 3.595985
0.860034 3.066193 4.594058
4.824018 2.450023 0.895407
4.150895 1.160541 0.294833
1.889497 1.973349 6.059119
4.283602 2.071422 5.690507
2.213448 2.671159 3.126458
3.148366 2.577207 4.704882
4.129354 1.390434 1.212326
5.408141 0.282438 0.349321
