# File written from OrientationAnalysis Version 6.5.171.b0b162591
# DateTime: Tue Jan 23 13:01:48 2024
# X_STEP: 250.0
# Y_STEP: 250.0
# Z_STEP: 0.0
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 25000.0
# Y_MAX: 20000.0
# Z_MAX: 0.0
#
# X_DIM: 100.0
# Y_DIM: 80
# Z_DIM: 0
#
# Phase_1: Primary
# Symmetry_1: 43
# Features_1: 3
#
# Num_Features: 3
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
5.260377 2.181187 2.273942 125.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 375.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 625.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 875.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 1125.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 1375.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 1625.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 1875.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 2125.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 2375.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 2625.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 2875.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 3125.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 3375.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 3625.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 3875.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 4125.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 4375.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 4625.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 4875.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 5125.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 5375.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 5625.0 125.0 0.0 3 1 43
5.260377 2.181187 2.273942 5875.0 125.0 0.0 3 1 43
