# File written from OrientationAnalysis Version 6.5.171.b0b162591
# DateTime: Wed Jun 5 15:09:51 2024
# X_STEP: 250.0
# Y_STEP: 250.0
# Z_STEP: 0.0
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 55000.0
# Y_MAX: 50000.0
# Z_MAX: 0.0
#
# X_DIM: 220.0
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: Primary
# Symmetry_1: 43
# Features_1: 16
#
# Num_Features: 16
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
3.813215 2.312874 2.958188 125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 1125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 1375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 1625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 1875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 2125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 2375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 2625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 2875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 3125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 3375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 3625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 3875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 4125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 4375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 4625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 4875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 5125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 5375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 5625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 5875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 6125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 6375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 6625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 6875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 7125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 7375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 7625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 7875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 8125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 8375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 8625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 8875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 9125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 9375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 9625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 9875.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 10125.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 10375.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 10625.0 125.0 0.0 16 1 43
3.813215 2.312874 2.958188 10875.0 125.0 0.0 16 1 43
